UVM_INFO /home/users4/fl892838/can_uvm_project/tb/env/can_scoreboard.sv(201) @ 614170000: uvm_test_top.m_env.c_sb [CAN_SB_TXN] TIME=614170000 | node=1 | EXP=CAN[STD ] id=0x182 dlc=2 bytes=2 attempt=5 data=a0 10  | ack_seen=1 ack_driven=0 crc_err=0 form=0 stuff=0 | OBS=CAN[STD ] id=0x182 dlc=2 bytes=2 attempt=0 data=a0 10  | ack_seen=1 ack_driven=1 crc_err=0 form=0 stuff=0 | PASS
UVM_INFO /home/users4/fl892838/can_uvm_project/tb/env/can_scoreboard.sv(201) @ 614170000: uvm_test_top.m_env.c_sb [CAN_SB_TXN] TIME=614170000 | node=2 | EXP=CAN[STD ] id=0x182 dlc=2 bytes=2 attempt=5 data=a0 10  | ack_seen=1 ack_driven=0 crc_err=0 form=0 stuff=0 | OBS=CAN[STD ] id=0x182 dlc=2 bytes=2 attempt=0 data=a0 10  | ack_seen=1 ack_driven=1 crc_err=0 form=0 stuff=0 | PASS
UVM_INFO /home/users4/fl892838/can_uvm_project/tb/env/can_scoreboard.sv(201) @ 620510000: uvm_test_top.m_env.c_sb [CAN_SB_TXN] TIME=620510000 | node=0 | EXP=CAN[STD ] id=0x18a dlc=2 bytes=2 attempt=6 data=a1 11  | ack_seen=1 ack_driven=0 crc_err=0 form=0 stuff=0 | OBS=CAN[STD ] id=0x18a dlc=2 bytes=2 attempt=0 data=a1 11  | ack_seen=1 ack_driven=1 crc_err=0 form=0 stuff=0 | PASS
UVM_INFO /home/users4/fl892838/can_uvm_project/tb/env/can_scoreboard.sv(201) @ 620510000: uvm_test_top.m_env.c_sb [CAN_SB_TXN] TIME=620510000 | node=1 | EXP=CAN[STD ] id=0x18a dlc=2 bytes=2 attempt=6 data=a1 11  | ack_seen=1 ack_driven=0 crc_err=0 form=0 stuff=0 | OBS=CAN[STD ] id=0x18a dlc=2 bytes=2 attempt=0 data=a1 11  | ack_seen=1 ack_driven=0 crc_err=0 form=0 stuff=0 | PASS
UVM_INFO /home/users4/fl892838/can_uvm_project/tb/env/can_scoreboard.sv(201) @ 620510000: uvm_test_top.m_env.c_sb [CAN_SB_TXN] TIME=620510000 | node=2 | EXP=CAN[STD ] id=0x18a dlc=2 bytes=2 attempt=6 data=a1 11  | ack_seen=1 ack_driven=0 crc_err=0 form=0 stuff=0 | OBS=CAN[STD ] id=0x18a dlc=2 bytes=2 attempt=0 data=a1 11  | ack_seen=1 ack_driven=1 crc_err=0 form=0 stuff=0 | PASS
UVM_INFO /home/users4/fl892838/can_uvm_project/tb/env/can_scoreboard.sv(201) @ 907730000: uvm_test_top.m_env.c_sb [CAN_SB_TXN] TIME=907730000 | node=0 | EXP=CAN[STD ] id=0x103 dlc=2 bytes=2 attempt=6 data=a0 10  | ack_seen=1 ack_driven=0 crc_err=0 form=0 stuff=0 | OBS=CAN[STD ] id=0x103 dlc=2 bytes=2 attempt=0 data=a0 10  | ack_seen=1 ack_driven=0 crc_err=0 form=0 stuff=0 | PASS
UVM_INFO /home/users4/fl892838/can_uvm_project/tb/env/can_scoreboard.sv(201) @ 907730000: uvm_test_top.m_env.c_sb [CAN_SB_TXN] TIME=907730000 | node=1 | EXP=CAN[STD ] id=0x103 dlc=2 bytes=2 attempt=6 data=a0 10  | ack_seen=1 ack_driven=0 crc_err=0 form=0 stuff=0 | OBS=CAN[STD ] id=0x103 dlc=2 bytes=2 attempt=0 data=a0 10  | ack_seen=1 ack_driven=1 crc_err=0 form=0 stuff=0 | PASS
UVM_INFO /home/users4/fl892838/can_uvm_project/tb/env/can_scoreboard.sv(201) @ 907730000: uvm_test_top.m_env.c_sb [CAN_SB_TXN] TIME=907730000 | node=2 | EXP=CAN[STD ] id=0x103 dlc=2 bytes=2 attempt=6 data=a0 10  | ack_seen=1 ack_driven=0 crc_err=0 form=0 stuff=0 | OBS=CAN[STD ] id=0x103 dlc=2 bytes=2 attempt=0 data=a0 10  | ack_seen=1 ack_driven=1 crc_err=0 form=0 stuff=0 | PASS
UVM_INFO /home/users4/fl892838/can_uvm_project/tb/env/can_scoreboard.sv(201) @ 914070000: uvm_test_top.m_env.c_sb [CAN_SB_TXN] TIME=914070000 | node=0 | EXP=CAN[STD ] id=0x18b dlc=2 bytes=2 attempt=8 data=a1 11  | ack_seen=1 ack_driven=0 crc_err=0 form=0 stuff=0 | OBS=CAN[STD ] id=0x18b dlc=2 bytes=2 attempt=0 data=a1 11  | ack_seen=1 ack_driven=1 crc_err=0 form=0 stuff=0 | PASS
UVM_INFO /home/users4/fl892838/can_uvm_project/tb/env/can_scoreboard.sv(201) @ 914070000: uvm_test_top.m_env.c_sb [CAN_SB_TXN] TIME=914070000 | node=1 | EXP=CAN[STD ] id=0x18b dlc=2 bytes=2 attempt=8 data=a1 11  | ack_seen=1 ack_driven=0 crc_err=0 form=0 stuff=0 | OBS=CAN[STD ] id=0x18b dlc=2 bytes=2 attempt=0 data=a1 11  | ack_seen=1 ack_driven=0 crc_err=0 form=0 stuff=0 | PASS
